크기,무게(ton),속도(km_h),색상,제로백(sec),차량발매연도,정지거리(m)
중형,1.22,113.5,초록색,25.9,2013,69.235
대형,1.37,88.3,분홍색,10.1,2005,60.486
소형,0.97,89.9,회색,28.0,2012,43.602
대형,1.46,74.3,흰색,13.6,2014,54.239
소형,0.99,85.2,푸른색,10.7,2011,42.174
대형,1.28,78.5,회색,25.0,2009,50.24
소형,1.05,91.7,분홍색,21.6,2014,48.143
대형,1.34,84.3,분홍색,28.8,2010,56.481
대형,1.46,77.0,붉은색,10.9,2019,56.21
대형,1.25,87.8,검은색,10.7,2012,54.875
소형,1.03,98.4,회색,26.0,2018,50.676
대형,1.27,77.8,분홍색,25.2,2015,49.403
대형,1.33,86.7,붉은색,28.1,2007,57.656
대형,1.29,82.4,검은색,15.1,2009,53.148
대형,1.35,72.0,흰색,13.1,2006,48.6
중형,1.21,115.3,회색,12.3,2013,69.757
중형,1.21,97.0,분홍색,25.0,2010,58.685
대형,1.33,88.7,검은색,29.8,2012,58.986
중형,1.1,115.3,붉은색,12.6,2008,63.415
대형,1.39,86.4,분홍색,10.5,2020,60.048
중형,1.16,123.1,흰색,20.2,2016,71.398
대형,1.26,81.4,붉은색,27.5,2012,51.282
소형,1.06,96.6,붉은색,21.4,2020,51.198
소형,0.9,108.4,초록색,17.3,2021,48.78
소형,1.01,94.1,흰색,17.0,2005,47.521
대형,1.44,71.3,검은색,22.0,2007,51.336
중형,1.08,120.3,분홍색,12.0,2010,64.962
중형,1.21,99.1,검은색,23.5,2015,59.956
중형,1.1,121.4,회색,11.8,2006,66.77
대형,1.42,76.6,회색,23.9,2021,54.386
대형,1.41,73.1,회색,19.5,2009,51.536
중형,1.21,95.5,붉은색,21.8,2016,57.777
소형,0.92,98.0,회색,21.5,2012,45.08
대형,1.29,74.6,분홍색,28.5,2014,48.117
대형,1.37,82.6,흰색,12.3,2013,56.581
중형,1.2,98.6,붉은색,8.4,2020,59.16
대형,1.49,87.7,분홍색,12.7,2021,65.337
소형,0.91,103.5,검은색,24.2,2018,47.093
소형,1.07,88.0,흰색,21.7,2019,47.08
소형,1.08,100.6,흰색,19.2,2012,54.324
소형,0.99,96.7,검은색,13.6,2015,47.867
소형,0.99,102.4,회색,15.8,2020,50.688
중형,1.22,104.7,푸른색,23.8,2016,63.867
중형,1.06,123.3,초록색,22.1,2016,65.349
중형,1.1,122.9,붉은색,27.7,2016,67.595
소형,0.99,101.4,분홍색,9.5,2006,50.193
소형,0.97,105.3,검은색,23.9,2021,51.071
중형,1.21,96.2,붉은색,15.3,2007,58.201
대형,1.33,71.6,초록색,25.3,2018,47.614
중형,1.11,112.6,검은색,20.0,2014,62.493
소형,0.95,87.4,푸른색,17.7,2018,41.515
중형,1.18,112.5,흰색,14.0,2011,66.375
소형,1.1,109.3,분홍색,11.0,2011,60.115
소형,0.95,88.8,분홍색,21.5,2012,42.18
소형,0.98,89.1,회색,23.6,2017,43.659
소형,0.95,80.6,분홍색,21.4,2016,38.285
소형,1.08,87.9,초록색,16.4,2021,47.466
중형,1.19,119.9,푸른색,21.5,2018,71.341
중형,1.22,115.8,붉은색,23.7,2013,70.638
소형,1.02,98.1,분홍색,19.1,2007,50.031
중형,1.19,122.6,검은색,17.3,2008,72.947
중형,1.29,92.1,검은색,23.5,2019,59.405
대형,1.25,72.7,회색,26.6,2019,45.438
중형,1.22,107.4,푸른색,13.8,2007,65.514
대형,1.39,81.8,분홍색,7.8,2012,56.851
대형,1.34,80.5,분홍색,18.3,2006,53.935
중형,1.09,97.8,회색,27.5,2008,53.301
소형,1.07,94.2,분홍색,26.6,2018,50.397
중형,1.06,107.1,흰색,20.8,2021,56.763
대형,1.35,71.0,초록색,8.6,2008,47.925
중형,1.26,121.2,회색,28.0,2007,76.356
대형,1.37,85.9,흰색,14.4,2019,58.842
소형,0.94,95.7,초록색,9.2,2017,44.979
소형,1.05,109.8,검은색,19.4,2010,57.645
소형,1.05,107.8,흰색,26.0,2019,56.595
중형,1.05,87.4,흰색,13.7,2021,45.885
중형,1.18,90.6,초록색,25.0,2005,53.454
대형,1.29,76.9,흰색,19.8,2021,49.601
대형,1.3,79.9,검은색,7.5,2020,51.935
중형,1.17,111.1,흰색,26.5,2011,64.993
소형,1.09,88.7,초록색,28.6,2005,48.342
소형,1.01,103.2,분홍색,27.4,2021,52.116
소형,1.1,105.6,흰색,13.9,2021,58.08
중형,1.28,124.9,검은색,14.7,2014,79.936
대형,1.39,71.1,흰색,15.1,2007,49.415
중형,1.29,89.8,흰색,22.8,2019,57.921
소형,1.0,99.7,흰색,10.0,2013,49.85
대형,1.27,83.3,흰색,19.3,2012,52.896
중형,1.22,118.0,분홍색,14.5,2013,71.98
소형,1.01,98.2,푸른색,16.5,2011,49.591
대형,1.38,85.1,회색,28.7,2013,58.719
중형,1.1,119.3,검은색,21.3,2021,65.615
소형,1.1,92.8,붉은색,12.9,2018,51.04
중형,1.19,92.2,푸른색,20.7,2014,54.859
소형,1.1,108.0,분홍색,13.8,2009,59.4
소형,1.01,84.6,회색,29.2,2010,42.723
중형,1.14,115.1,검은색,23.8,2016,65.607
대형,1.28,84.0,붉은색,8.8,2016,53.76
대형,1.29,82.6,흰색,25.0,2009,53.277
대형,1.28,81.8,푸른색,13.7,2006,52.352
대형,1.31,73.1,초록색,26.1,2008,47.881
대형,1.48,85.3,붉은색,23.4,2018,63.122
대형,1.34,77.4,푸른색,22.6,2013,51.858
소형,1.04,106.5,검은색,8.2,2011,55.38
중형,1.16,90.1,분홍색,8.2,2016,52.258
소형,0.99,95.1,푸른색,7.9,2012,47.075
소형,1.09,80.0,회색,14.5,2013,43.6
대형,1.3,87.4,검은색,18.4,2005,56.81
중형,1.23,110.5,푸른색,24.2,2021,67.957
소형,0.97,100.0,회색,8.7,2005,48.5
대형,1.26,70.3,검은색,7.9,2011,44.289
중형,1.25,110.8,붉은색,15.9,2010,69.25
대형,1.48,89.5,초록색,16.2,2016,66.23
소형,1.08,84.3,회색,12.9,2010,45.522
소형,1.0,90.4,분홍색,21.0,2016,45.2
중형,1.16,91.2,회색,12.4,2011,52.896
중형,1.19,106.8,회색,18.1,2009,63.546
중형,1.06,89.8,회색,19.1,2018,47.594
대형,1.26,74.1,분홍색,26.3,2012,46.683
대형,1.27,78.2,검은색,28.7,2016,49.657
중형,1.24,101.9,검은색,7.8,2009,63.178
소형,0.96,102.3,검은색,14.8,2005,49.104
중형,1.12,119.4,푸른색,15.9,2005,66.864
소형,1.09,105.3,푸른색,29.7,2021,57.389
중형,1.08,106.1,흰색,19.2,2006,57.294
소형,1.0,106.8,분홍색,17.9,2014,53.4
소형,0.95,102.1,초록색,16.6,2015,48.498
중형,1.07,108.9,붉은색,15.0,2012,58.262
소형,1.06,96.3,흰색,27.9,2018,51.039
중형,1.17,91.0,분홍색,19.1,2011,53.235
대형,1.46,82.8,검은색,26.0,2021,60.444
중형,1.24,95.1,회색,9.3,2009,58.962
중형,1.2,87.8,흰색,17.9,2006,52.68
소형,0.99,91.8,흰색,13.9,2016,45.441
대형,1.47,83.7,검은색,12.2,2013,61.52
중형,1.24,118.8,흰색,13.5,2011,73.656
대형,1.45,76.5,푸른색,29.1,2006,55.462
중형,1.18,93.1,검은색,8.5,2009,54.929
대형,1.47,71.4,회색,17.0,2006,52.479
대형,1.32,76.6,푸른색,18.0,2014,50.556
중형,1.19,123.0,분홍색,14.8,2017,73.185
소형,0.94,95.4,검은색,23.1,2016,44.838
소형,1.04,99.4,분홍색,25.3,2007,51.688
소형,1.03,101.8,검은색,15.2,2011,52.427
대형,1.26,73.6,분홍색,27.6,2008,46.368
소형,1.06,100.7,푸른색,11.3,2020,53.371
대형,1.35,72.4,분홍색,13.7,2005,48.87
중형,1.06,114.2,초록색,20.2,2016,60.526
중형,1.06,112.8,검은색,10.0,2007,59.784
대형,1.27,87.2,흰색,14.5,2006,55.372
중형,1.3,88.2,흰색,7.8,2006,57.33
중형,1.3,81.7,회색,14.6,2016,53.105
중형,1.24,111.5,회색,16.9,2019,69.13
소형,0.93,91.2,초록색,28.3,2016,42.408
소형,1.03,96.5,흰색,26.7,2021,49.697
대형,1.48,87.9,푸른색,18.4,2015,65.046
소형,0.98,107.6,흰색,24.3,2014,52.724
소형,1.06,80.9,검은색,24.6,2007,42.877
중형,1.23,83.1,회색,11.3,2005,51.107
소형,0.99,109.5,붉은색,16.1,2012,54.203
소형,0.96,89.4,검은색,14.6,2005,42.912
중형,1.17,120.6,검은색,20.9,2008,70.551
중형,1.29,110.0,푸른색,26.3,2011,70.95
대형,1.28,87.4,초록색,21.4,2018,55.936
대형,1.4,81.5,흰색,26.2,2019,57.05
소형,0.99,105.2,초록색,15.6,2013,52.074
소형,1.0,91.5,흰색,18.1,2014,45.75
소형,1.01,91.7,흰색,26.5,2006,46.309
대형,1.41,82.8,붉은색,21.3,2020,58.374
중형,1.26,87.3,분홍색,23.7,2018,54.999
중형,1.27,105.9,검은색,13.2,2014,67.246
중형,1.11,94.1,푸른색,28.6,2009,52.226
대형,1.38,78.8,회색,10.5,2010,54.372
대형,1.32,71.3,붉은색,13.7,2016,47.058
중형,1.16,114.8,푸른색,14.1,2015,66.584
소형,1.01,97.9,붉은색,8.9,2017,49.44
중형,1.18,106.5,분홍색,28.4,2011,62.835
소형,0.97,102.7,분홍색,16.2,2016,49.809
중형,1.16,92.2,초록색,20.6,2015,53.476
소형,1.05,101.6,초록색,20.3,2020,53.34
소형,1.1,90.7,회색,13.9,2016,49.885
대형,1.49,70.7,붉은색,15.7,2005,52.672
소형,1.04,93.1,초록색,29.2,2005,48.412
대형,1.41,71.8,초록색,29.5,2016,50.619
소형,1.09,89.5,초록색,28.1,2013,48.778
대형,1.4,87.7,회색,16.3,2011,61.39
대형,1.36,81.1,붉은색,28.1,2006,55.148
중형,1.23,106.8,검은색,10.6,2014,65.682
대형,1.47,79.3,푸른색,19.2,2017,58.286
중형,1.2,106.1,회색,15.5,2013,63.66
소형,0.93,94.0,분홍색,28.9,2011,43.71
대형,1.4,85.6,분홍색,10.9,2005,59.92
대형,1.38,89.9,초록색,13.9,2005,62.031
중형,1.05,83.2,검은색,21.1,2014,43.68
소형,1.07,81.7,분홍색,28.4,2008,43.71
중형,1.28,116.4,흰색,8.8,2015,74.496
소형,0.99,108.9,붉은색,8.8,2013,53.906
중형,1.15,122.0,푸른색,14.0,2019,70.15
소형,0.94,97.1,붉은색,7.2,2020,45.637
중형,1.05,105.2,흰색,22.9,2011,55.23
소형,1.01,105.7,붉은색,25.9,2005,53.379
대형,1.36,76.1,흰색,27.5,2010,51.748
대형,1.36,85.2,푸른색,25.4,2017,57.936
소형,0.91,101.2,초록색,24.9,2014,46.046
대형,1.43,80.4,검은색,12.3,2013,57.486
중형,1.07,114.3,흰색,18.5,2008,61.151
중형,1.12,121.1,초록색,11.2,2016,67.816
중형,1.29,92.7,푸른색,16.3,2006,59.792
소형,0.9,91.2,붉은색,10.6,2011,41.04
대형,1.32,72.1,회색,25.8,2008,47.586
중형,1.09,104.7,흰색,13.4,2020,57.062
중형,1.24,83.2,검은색,15.0,2020,51.584
소형,0.92,95.9,초록색,25.8,2007,44.114
중형,1.13,115.6,분홍색,26.1,2018,65.314
대형,1.29,84.7,흰색,17.9,2020,54.632
대형,1.46,74.6,검은색,15.4,2015,54.458
중형,1.21,122.3,초록색,16.4,2015,73.992
소형,0.9,83.9,분홍색,17.3,2011,37.755
중형,1.22,109.9,회색,11.9,2016,67.039
중형,1.08,116.5,흰색,26.3,2012,62.91
중형,1.2,121.3,푸른색,25.9,2012,72.78
중형,1.28,96.3,초록색,26.6,2015,61.632
소형,1.0,84.9,푸른색,13.1,2007,42.45
소형,0.91,86.8,회색,24.9,2019,39.494
소형,0.9,87.0,초록색,13.2,2008,39.15
대형,1.37,75.7,푸른색,14.3,2007,51.855
소형,1.07,91.3,푸른색,13.6,2007,48.846
중형,1.07,115.4,푸른색,18.4,2019,61.739
대형,1.41,81.1,회색,25.0,2010,57.175
대형,1.32,84.9,흰색,11.8,2011,56.034
중형,1.1,108.6,푸른색,16.7,2014,59.73
대형,1.43,86.3,분홍색,24.5,2015,61.705
대형,1.37,88.1,회색,15.1,2005,60.349
소형,1.03,97.3,흰색,24.0,2006,50.11
소형,1.09,94.5,초록색,21.0,2009,51.503
대형,1.37,86.7,붉은색,10.5,2013,59.39
소형,1.08,99.8,분홍색,25.7,2012,53.892
대형,1.28,87.7,붉은색,12.6,2009,56.128
중형,1.13,101.3,검은색,21.2,2012,57.235
대형,1.38,76.8,푸른색,7.8,2008,52.992
중형,1.29,116.8,회색,19.6,2006,75.336
대형,1.28,85.2,검은색,15.1,2014,54.528
중형,1.1,94.8,분홍색,13.3,2019,52.14
대형,1.25,77.0,분홍색,8.0,2005,48.125
소형,0.92,105.6,분홍색,7.5,2011,48.576
소형,1.05,89.1,푸른색,24.5,2015,46.778
소형,0.99,105.8,흰색,16.0,2018,52.371
중형,1.2,91.0,회색,11.3,2012,54.6
중형,1.28,124.9,검은색,15.8,2013,79.936
중형,1.08,91.8,푸른색,8.6,2008,49.572
소형,0.99,90.0,흰색,19.3,2007,44.55
중형,1.06,100.9,푸른색,12.0,2021,53.477
소형,1.02,96.2,흰색,22.1,2005,49.062
대형,1.28,81.3,붉은색,28.8,2008,52.032
대형,1.27,75.1,붉은색,15.8,2014,47.689
소형,0.9,90.9,분홍색,11.9,2012,40.905
중형,1.29,101.2,검은색,17.0,2019,65.274
중형,1.3,81.3,분홍색,13.9,2014,52.845
소형,0.96,80.6,회색,21.2,2018,38.688
소형,1.02,104.6,분홍색,28.2,2008,53.346
대형,1.46,72.4,회색,26.8,2013,52.852
소형,1.07,99.4,검은색,9.0,2008,53.179
소형,1.05,108.7,초록색,20.6,2015,57.068
소형,1.08,84.1,초록색,21.5,2014,45.414
대형,1.35,70.8,회색,16.3,2005,47.79
중형,1.14,94.3,흰색,26.4,2017,53.751
대형,1.4,70.9,푸른색,23.8,2020,49.63
대형,1.46,79.9,회색,23.8,2007,58.327
대형,1.48,73.3,분홍색,29.1,2006,54.242
대형,1.35,87.8,흰색,27.6,2007,59.265
소형,1.01,94.8,회색,29.3,2014,47.874
소형,0.95,105.8,초록색,23.4,2010,50.255
중형,1.1,123.7,검은색,7.4,2019,68.035
중형,1.09,107.8,초록색,18.1,2021,58.751
소형,1.07,82.5,검은색,23.1,2007,44.138
중형,1.22,110.2,흰색,18.3,2019,67.222
소형,1.0,82.4,분홍색,13.0,2010,41.2
대형,1.4,70.1,검은색,14.6,2014,49.07
중형,1.17,93.0,초록색,8.5,2018,54.405
중형,1.05,92.4,푸른색,11.0,2021,48.51
대형,1.43,75.0,초록색,11.6,2015,53.625
소형,1.04,98.5,초록색,13.6,2005,51.22
중형,1.07,108.9,푸른색,27.2,2017,58.262
소형,0.99,100.6,흰색,16.9,2013,49.797
대형,1.29,76.2,푸른색,15.5,2005,49.149
대형,1.33,73.0,붉은색,9.9,2016,48.545
대형,1.29,73.5,검은색,19.6,2007,47.407
소형,0.94,101.2,붉은색,24.6,2011,47.564
대형,1.34,86.6,푸른색,24.2,2008,58.022
소형,1.03,94.2,검은색,26.2,2005,48.513
중형,1.07,98.4,흰색,8.7,2014,52.644
대형,1.39,85.3,초록색,26.1,2020,59.284
대형,1.27,79.0,붉은색,15.1,2009,50.165
대형,1.47,70.5,초록색,20.2,2007,51.818
대형,1.4,77.1,푸른색,18.6,2005,53.97
소형,1.05,86.6,검은색,7.6,2007,45.465
소형,1.01,99.7,붉은색,9.8,2021,50.349
소형,1.03,95.0,흰색,9.5,2010,48.925
소형,1.08,87.6,검은색,12.1,2018,47.304
대형,1.4,80.6,검은색,9.7,2006,56.42
대형,1.33,72.1,푸른색,19.9,2014,47.947
대형,1.33,74.3,붉은색,25.2,2017,49.41
중형,1.22,83.3,푸른색,14.9,2021,50.813
소형,1.05,100.0,분홍색,23.4,2019,52.5
소형,1.01,88.4,분홍색,25.0,2010,44.642
대형,1.3,71.3,푸른색,9.4,2018,46.345
대형,1.33,75.7,붉은색,27.8,2009,50.341
대형,1.42,78.9,회색,11.9,2005,56.019
소형,1.02,109.2,푸른색,22.8,2019,55.692
중형,1.12,112.2,검은색,12.2,2016,62.832
소형,1.06,82.4,흰색,19.4,2014,43.672
대형,1.37,88.7,흰색,19.1,2006,60.76
대형,1.46,86.1,초록색,21.6,2012,62.853
소형,1.02,97.6,붉은색,9.2,2015,49.776
중형,1.1,102.7,분홍색,22.9,2011,56.485
중형,1.3,98.8,붉은색,29.4,2015,64.22
대형,1.33,77.1,회색,15.0,2005,51.272
소형,0.9,95.7,분홍색,15.0,2014,43.065
대형,1.45,71.0,붉은색,24.1,2005,51.475
대형,1.44,77.2,초록색,9.0,2006,55.584
대형,1.37,73.8,붉은색,20.8,2021,50.553
소형,0.97,109.7,푸른색,13.3,2013,53.205
중형,1.07,116.3,초록색,8.5,2015,62.221
대형,1.31,74.7,분홍색,11.0,2008,48.929
중형,1.13,93.5,검은색,11.5,2020,52.828
소형,1.02,93.6,검은색,9.3,2012,47.736
중형,1.28,100.9,분홍색,23.7,2012,64.576
대형,1.36,77.5,푸른색,17.5,2010,52.7
대형,1.46,72.7,초록색,23.3,2017,53.071
대형,1.42,75.5,붉은색,12.3,2020,53.605
중형,1.09,109.3,회색,18.7,2015,59.569
중형,1.13,119.3,붉은색,9.2,2006,67.405
중형,1.09,87.4,초록색,15.0,2016,47.633
소형,1.1,100.2,초록색,29.6,2017,55.11
소형,0.96,103.6,분홍색,11.8,2014,49.728
중형,1.15,86.6,흰색,19.4,2011,49.795
중형,1.21,113.7,붉은색,25.5,2008,68.788
중형,1.08,94.3,푸른색,24.2,2013,50.922
중형,1.13,81.7,회색,19.6,2021,46.161
중형,1.18,117.6,흰색,24.7,2014,69.384
대형,1.35,89.8,붉은색,7.3,2015,60.615
대형,1.5,82.2,흰색,16.0,2021,61.65
소형,1.06,92.6,흰색,12.1,2020,49.078
대형,1.32,74.5,붉은색,17.5,2007,49.17
소형,0.96,81.5,분홍색,16.5,2012,39.12
소형,1.01,89.0,붉은색,10.4,2012,44.945
소형,1.09,95.2,회색,24.5,2013,51.884
대형,1.4,84.2,회색,12.1,2006,58.94
중형,1.09,115.4,분홍색,12.5,2007,62.893
중형,1.09,109.1,푸른색,9.5,2006,59.46
소형,1.03,104.0,검은색,18.8,2019,53.56
대형,1.36,75.7,초록색,13.0,2006,51.476
대형,1.48,79.4,분홍색,25.6,2005,58.756
대형,1.38,73.5,분홍색,19.5,2013,50.715
소형,1.05,108.8,흰색,14.0,2005,57.12
소형,1.01,98.0,푸른색,8.6,2008,49.49
중형,1.16,119.5,검은색,14.9,2010,69.31
중형,1.23,81.7,분홍색,18.0,2017,50.245
소형,0.95,98.4,분홍색,19.1,2012,46.74
대형,1.31,85.2,푸른색,24.2,2007,55.806
중형,1.14,111.4,초록색,24.2,2018,63.498
중형,1.26,98.3,검은색,15.5,2011,61.929
대형,1.29,86.0,분홍색,10.5,2018,55.47
중형,1.21,82.3,검은색,13.3,2009,49.792
소형,0.96,107.0,검은색,23.3,2020,51.36
소형,0.99,102.6,흰색,22.1,2012,50.787
중형,1.26,88.1,검은색,7.0,2005,55.503
소형,0.99,103.9,흰색,17.6,2009,51.431
대형,1.47,78.1,회색,21.3,2009,57.404
대형,1.5,86.9,푸른색,13.2,2010,65.175
중형,1.23,97.2,붉은색,25.5,2013,59.778
대형,1.47,87.3,분홍색,13.7,2014,64.166
대형,1.45,75.9,검은색,26.3,2015,55.028
대형,1.42,77.0,붉은색,15.7,2008,54.67
대형,1.35,81.1,푸른색,13.0,2008,54.743
대형,1.46,75.1,분홍색,23.4,2016,54.823
소형,1.07,106.1,초록색,13.6,2016,56.764
대형,1.28,77.8,초록색,22.9,2007,49.792
중형,1.24,108.8,회색,23.6,2009,67.456
중형,1.07,91.6,흰색,28.1,2019,49.006
대형,1.35,72.2,붉은색,14.0,2020,48.735
중형,1.06,113.3,검은색,20.9,2017,60.049
대형,1.29,82.9,분홍색,21.7,2005,53.471
대형,1.45,81.0,검은색,23.3,2012,58.725
소형,1.08,80.4,푸른색,21.3,2008,43.416
소형,0.95,94.3,흰색,13.8,2013,44.793
대형,1.3,70.6,분홍색,16.7,2014,45.89
대형,1.45,73.1,회색,7.5,2007,52.998
대형,1.31,71.7,검은색,20.1,2006,46.964
소형,1.01,87.6,초록색,7.1,2009,44.238
대형,1.41,81.2,푸른색,24.0,2012,57.246
대형,1.5,75.2,분홍색,13.5,2010,56.4
소형,1.02,98.7,검은색,10.4,2010,50.337
소형,0.92,103.9,회색,11.0,2015,47.794
대형,1.37,80.3,푸른색,26.6,2018,55.006
대형,1.5,82.5,검은색,24.6,2020,61.875
중형,1.27,112.2,흰색,22.3,2018,71.247
대형,1.38,85.3,붉은색,25.9,2009,58.857
소형,1.07,98.7,푸른색,15.3,2012,52.805
소형,1.07,107.9,회색,12.8,2014,57.727
중형,1.05,96.9,검은색,26.2,2020,50.873
중형,1.13,119.7,분홍색,26.2,2010,67.631
소형,1.05,80.1,푸른색,28.1,2020,42.053
중형,1.05,93.9,붉은색,25.9,2017,49.298
대형,1.38,79.3,검은색,14.7,2013,54.717
소형,1.04,103.8,분홍색,21.2,2008,53.976
소형,1.0,80.5,분홍색,21.1,2011,40.25
소형,0.91,105.9,초록색,26.3,2017,48.185
중형,1.29,92.7,흰색,15.3,2006,59.792
소형,0.92,105.4,초록색,11.6,2009,48.484
소형,1.02,81.2,검은색,28.5,2015,41.412
중형,1.13,97.6,푸른색,27.5,2006,55.144
대형,1.27,79.6,초록색,19.8,2018,50.546
소형,1.0,90.4,푸른색,18.7,2010,45.2
대형,1.5,77.2,붉은색,14.0,2021,57.9
중형,1.05,117.7,회색,22.6,2015,61.793
소형,1.03,94.6,푸른색,17.3,2011,48.719
대형,1.37,78.3,흰색,10.9,2017,53.636
대형,1.47,73.6,회색,21.2,2010,54.096
대형,1.37,79.0,분홍색,18.5,2016,54.115
대형,1.45,82.6,초록색,13.3,2005,59.885
대형,1.33,86.3,검은색,12.9,2009,57.39
중형,1.25,90.6,붉은색,12.9,2019,56.625
소형,0.92,87.5,검은색,29.3,2014,40.25
소형,1.05,98.5,푸른색,13.1,2009,51.713
대형,1.32,81.2,회색,22.1,2016,53.592
중형,1.21,104.9,흰색,13.3,2013,63.465
중형,1.26,116.8,흰색,28.7,2012,73.584
중형,1.14,91.1,초록색,15.3,2013,51.927
소형,1.04,90.5,초록색,15.5,2005,47.06
대형,1.37,80.6,회색,28.0,2005,55.211
대형,1.49,71.7,푸른색,25.4,2009,53.416
소형,0.91,88.7,분홍색,8.3,2016,40.358
대형,1.31,73.0,분홍색,8.2,2014,47.815
대형,1.27,80.3,검은색,23.4,2011,50.991
소형,0.91,80.6,분홍색,25.2,2021,36.673
대형,1.27,71.5,붉은색,26.9,2013,45.403
중형,1.28,112.8,푸른색,26.5,2021,72.192
대형,1.32,87.1,분홍색,7.6,2014,57.486
대형,1.37,89.6,푸른색,25.8,2008,61.376
대형,1.25,90.0,푸른색,18.5,2020,56.25
대형,1.5,80.6,푸른색,9.2,2011,60.45
소형,1.06,107.1,흰색,12.1,2007,56.763
중형,1.2,116.5,회색,21.1,2016,69.9
대형,1.42,82.5,흰색,8.5,2014,58.575
소형,1.03,101.5,회색,26.2,2017,52.273
소형,1.05,109.4,흰색,23.7,2021,57.435
대형,1.28,71.8,붉은색,13.9,2021,45.952
중형,1.09,99.7,검은색,13.6,2018,54.337
중형,1.07,91.2,분홍색,21.4,2009,48.792
중형,1.23,112.2,푸른색,24.5,2007,69.003
대형,1.32,81.8,검은색,28.2,2020,53.988
중형,1.25,124.9,붉은색,9.7,2011,78.062
소형,1.02,87.1,분홍색,18.3,2005,44.421
소형,1.02,80.7,붉은색,14.5,2014,41.157
소형,1.1,108.9,붉은색,22.5,2006,59.895
소형,1.07,85.2,붉은색,19.0,2006,45.582
대형,1.26,84.3,초록색,20.9,2020,53.109
중형,1.25,83.0,붉은색,10.6,2016,51.875
중형,1.2,94.4,분홍색,22.8,2020,56.64
대형,1.27,72.1,초록색,8.3,2014,45.784
소형,1.08,83.4,푸른색,27.8,2008,45.036
대형,1.32,79.5,초록색,7.1,2008,52.47
대형,1.48,84.4,회색,28.0,2019,62.456
대형,1.36,80.2,검은색,13.8,2010,54.536
대형,1.25,81.5,흰색,24.5,2010,50.938
중형,1.06,101.1,푸른색,17.1,2007,53.583
중형,1.13,115.8,회색,22.3,2017,65.427
대형,1.25,82.1,회색,15.7,2010,51.313
중형,1.09,91.5,분홍색,11.2,2010,49.868
소형,0.9,94.0,초록색,14.0,2021,42.3
중형,1.26,103.3,검은색,8.3,2017,65.079
대형,1.32,76.4,흰색,18.5,2019,50.424
대형,1.41,78.7,회색,28.6,2014,55.483
대형,1.25,81.0,회색,7.3,2017,50.625
대형,1.42,85.9,푸른색,17.9,2019,60.989
대형,1.29,86.6,회색,23.8,2009,55.857
소형,1.01,100.6,붉은색,24.1,2016,50.803
대형,1.47,73.5,흰색,27.8,2020,54.023
중형,1.08,108.7,붉은색,15.5,2018,58.698
중형,1.2,112.2,붉은색,21.3,2020,67.32
대형,1.37,88.5,검은색,26.6,2005,60.623
소형,1.07,82.7,푸른색,14.5,2020,44.245
대형,1.34,87.9,회색,19.1,2012,58.893
중형,1.25,94.4,분홍색,10.0,2007,59.0
소형,0.91,97.8,푸른색,25.6,2016,44.499
소형,1.09,91.8,분홍색,21.1,2019,50.031
소형,0.98,86.8,분홍색,12.2,2019,42.532
중형,1.14,109.5,푸른색,14.9,2009,62.415
대형,1.33,80.3,푸른색,27.8,2009,53.4
대형,1.5,88.8,푸른색,8.4,2005,66.6
소형,0.98,91.9,흰색,15.5,2012,45.031
대형,1.5,88.8,분홍색,28.2,2010,66.6
중형,1.26,103.7,검은색,16.9,2011,65.331
중형,1.07,119.8,초록색,29.2,2011,64.093
중형,1.26,86.8,초록색,11.3,2011,54.684
중형,1.21,98.4,회색,26.4,2013,59.532
소형,1.05,100.9,검은색,12.1,2011,52.973
중형,1.25,83.2,회색,15.5,2014,52.0
대형,1.48,89.2,분홍색,14.6,2006,66.008
소형,1.09,93.4,회색,24.2,2020,50.903
소형,1.1,96.0,붉은색,8.7,2009,52.8
중형,1.22,107.1,회색,10.5,2008,65.331
소형,1.1,90.3,붉은색,7.1,2018,49.665
대형,1.42,76.6,붉은색,9.9,2021,54.386
대형,1.26,73.5,분홍색,18.9,2020,46.305
중형,1.07,124.6,붉은색,15.6,2008,66.661
대형,1.32,79.5,푸른색,14.3,2009,52.47
대형,1.47,78.5,초록색,23.5,2017,57.697
중형,1.21,109.9,검은색,14.0,2008,66.49
소형,0.97,109.5,분홍색,8.5,2008,53.108
중형,1.22,84.0,초록색,21.7,2006,51.24
소형,0.93,85.5,분홍색,14.3,2011,39.758
소형,0.96,90.8,푸른색,29.7,2019,43.584
대형,1.5,78.6,초록색,22.6,2021,58.95
중형,1.2,103.5,흰색,22.0,2018,62.1
대형,1.32,87.6,검은색,13.4,2012,57.816
대형,1.4,79.6,검은색,22.2,2010,55.72
대형,1.35,78.2,붉은색,19.6,2008,52.785
소형,1.04,84.7,푸른색,24.5,2007,44.044
소형,0.96,100.5,분홍색,24.0,2017,48.24
대형,1.44,86.4,붉은색,21.2,2021,62.208
대형,1.38,88.2,검은색,12.2,2015,60.858
소형,1.03,85.2,흰색,27.6,2015,43.878
대형,1.46,73.6,푸른색,25.9,2007,53.728
대형,1.48,83.8,푸른색,18.2,2017,62.012
소형,1.08,107.1,흰색,10.7,2016,57.834
소형,1.09,86.3,붉은색,26.7,2011,47.034
대형,1.36,80.8,초록색,10.2,2017,54.944
소형,0.98,94.8,검은색,16.6,2009,46.452
